parent,cat,m_oct_u,m_nov_u,m_oct_rev,m_nov_rev,base_u,base_g,child,event,hps_g,t_oct_u,t_nov_u,t_oct_rev,t_nov_rev,t_skus,d_oct_u,d_nov_u,rank_val
Watchband - Beat,Accessories,11.0,10.0,6146.013471944598,5981.823404855288,11.5,8038.5,3.0,2.0,30034.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,6146.013471944598
STRD-3-0-THE-OVER-AP-IPH13,Cases And Sleeves,7.0,6.0,5791.012799381094,4816.133236462602,5.0,4495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5791.012799381094
Coast Airpods,Cases And Sleeves,12.0,12.0,5403.227515151125,4493.629097602704,6.0,4194.0,7.0,1.0,13256.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5403.227515151125
BAR-DESK-COMBO-2,Home Office,2.0,2.0,5252.529115902465,5655.9851672009845,1.5,5998.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5252.529115902465
OFF-THE-GRID-PACK,Bags and Backpacks,3.0,3.0,5028.211087339435,5483.237958869248,2.5,4997.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5028.211087339435
STRD-2-0-ENCOU-AP-IPH17PRO,Cases And Sleeves,8.0,6.0,4952.958555555198,4119.160006135812,5.5,3844.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4952.958555555198
ESENTAL-CARY-GFT-BUNDLE,Gifts,2.0,1.0,4864.114678687917,2314.3068764368445,1.0,3199.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4864.114678687917
WHT-SLICNE-CLIK-UNVRSAL-WTHBAND-20,Accessories,7.0,7.0,4809.92358673925,4681.427012495442,9.0,6291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4809.92358673925
STRD-3-0-THE-OVER-AP-IPH14PLS,Cases And Sleeves,5.0,4.0,4053.708959566765,3371.293265523821,3.5,3146.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4053.708959566765
STRD-3-0-THE-DRIF-AP-IPH13PRO,Cases And Sleeves,5.0,4.0,4053.708959566765,3371.293265523821,3.5,3146.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4053.708959566765
STRD-3-0-THE-SURV-AP-IPH13,Cases And Sleeves,5.0,4.0,4053.708959566765,3371.293265523821,3.5,3146.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4053.708959566765
NIMBS-2-0-NT-PHN3APRO,Cases And Sleeves,7.0,6.0,3922.9441544194506,3262.5418698617627,5.0,3045.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3922.9441544194506
STRD-3-0-MAID-WITH-OFF-AP-IPH16,Cases And Sleeves,4.0,4.0,3539.023839799748,2943.252057967245,3.0,2747.0,1.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3539.023839799748
BAR-DESK-COMBO-14,Home Office,1.0,1.0,3501.68607726831,3770.6567781339895,1.0,3999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3501.68607726831
STRD-3-0-THE-OVER-AP-IPH13PRO,Cases And Sleeves,4.0,4.0,3474.607679628656,2889.6799418775613,3.0,2697.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3474.607679628656
STRD-3-0-MAKE-RITU-DOB-AP-IPH16,Cases And Sleeves,4.0,3.0,2959.922559861638,2461.6387343209853,2.5,2297.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2959.922559861638
STRD-3-0-THE-DRIF-AP-IPH13,Cases And Sleeves,4.0,3.0,2895.506399690547,2408.066618231301,2.5,2247.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2895.506399690547
STRD-3-0-THE-DRIF-AP-IPH14PRO,Cases And Sleeves,4.0,3.0,2895.506399690547,2408.066618231301,2.5,2247.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2895.506399690547
STRD-3-0-THE-OVER-AP-IPH14,Cases And Sleeves,4.0,3.0,2895.506399690547,2408.066618231301,2.5,2247.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2895.506399690547
STRD-2-0-ELCTRC-BLZE-AP-IPH17PRO,Cases And Sleeves,3.0,3.0,2831.7344011211667,2355.030223302514,2.0,2198.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2831.7344011211667
NDE-WIRLES-CRGNG-DISK,Accessories,1.0,1.0,2675.2380591321944,2603.769371597767,1.0,3499.0,1.0,0.0,0.0,709.5,674.025,0.0,0.0,1.0,-708.5,-673.025,2675.2380591321944
BLK-SLICNE-SPRT-UNVRSAL-WTHBAND-22,Accessories,4.0,4.0,2404.961793369625,2340.713506247721,4.5,3145.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2404.961793369625
STRD-3-0-DEAR-DRAG-AP-IPH16E,Cases And Sleeves,3.0,3.0,2316.4051197524373,1926.4532945850408,2.0,1798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2316.4051197524373
STRD-3-0-SPAC-RIDE-AP-IPH13,Cases And Sleeves,3.0,3.0,2316.4051197524373,1926.4532945850408,2.0,1798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2316.4051197524373
STRD-3-0-THE-SURV-AP-IPH15PLS,Cases And Sleeves,3.0,3.0,2316.4051197524373,1926.4532945850408,2.0,1798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2316.4051197524373
STRD-3-0-THE-LOUD-ONE-AP-IPH16PROMAX,Cases And Sleeves,3.0,3.0,2316.4051197524373,1926.4532945850408,2.0,1798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2316.4051197524373
STRD-3-0-DISCONN-DOB-AP-IPH14PRO,Cases And Sleeves,3.0,3.0,2316.4051197524373,1926.4532945850408,2.0,1798.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2316.4051197524373
NDE-2IN1-WIRLES-CRGNG-DOCK,Accessories,1.0,1.0,2292.9519689446847,2231.696011838155,1.0,2999.0,1.0,0.0,0.0,309.6,294.12,0.0,0.0,1.0,-308.6,-293.12,2292.9519689446847
THE-DALY-ESSE-GFT-BNDL,Gifts,1.0,1.0,2280.006239666312,1084.8087406117688,0.5,1499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2280.006239666312
STRD-2-0-KIXE-DISP-AP-IPH13,Cases And Sleeves,4.0,4.0,2271.957969234385,1889.488534483159,3.0,1763.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2271.957969234385
STRD-3-0-HYDE-CITY-TAG-AP-IPH16E,Cases And Sleeves,2.0,2.0,1866.1361601565104,1551.984203118149,1.5,1448.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1866.1361601565104
Meridian Briefpack,Bags and Backpacks,1.0,1.0,1810.5584495582416,1974.404543668877,0.5,1799.5,1.0,0.0,318818.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1810.5584495582416
Flekt Silicone,Cases And Sleeves,3.0,3.0,1801.0758383837083,1497.876365867568,2.0,1398.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1801.0758383837083
STRD-3-0-THE-FALS-ANG-AP-IPH15PROMAX,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-DEAR-DRAG-AP-IPH14PROMAX,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-FLIPSTER-DOB-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,899.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-LONE-AP-IPH13,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-CURI-CAT-AP-IPH15PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-LOUD-ONE-AP-IPH13PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-DRIF-AP-IPH14,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-LOUD-ONE-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-TINS-KNOT-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-YOUR-AIRN-DOB-SS-GLS26,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-LONE-AP-IPH15PLS,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-THE-DRIF-AP-IPH15PLS,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-TEL-MATC-DOB-AP-IPH13,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-GOAT-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-ROCO-SS-GLS26,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-MOO-MATC-DOB-AP-IPH115PLS,Cases And Sleeves,2.0,2.0,1737.303839814328,1444.8399709387809,1.5,1348.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1737.303839814328
STRD-3-0-SHOP-CARD-DOB-SS-GLS26,Cases And Sleeves,2.0,2.0,1672.8876796432369,1391.2678548490965,1.5,1298.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1672.8876796432369
STRD-2-0-LGND-THE-SKY-AP-IPH17PRO,Cases And Sleeves,2.0,2.0,1415.8672005605831,1177.515111651257,1.0,1099.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1415.8672005605831
Urban Tech Brief,Bags and Backpacks,1.0,1.0,1357.7930690074172,1480.666258227924,0.5,1349.5,1.0,0.0,472070.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1357.7930690074172
NDE-3IN1-WIRLES-CRGNG-DOCK,Accessories,1.0,1.0,1337.6190295660972,1301.8846857988835,0.5,1749.5,1.0,0.0,0.0,399.9,379.905,0.0,0.0,1.0,-398.9,-378.905,1337.6190295660972
STRD-3-0-THE-TINS-KNOT-AP-IPH16E,Cases And Sleeves,2.0,2.0,1287.034880218401,1070.3708794718889,1.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1287.034880218401
STRD-3-0-BLOO-BLIS-AP-IPH16E,Cases And Sleeves,2.0,2.0,1287.034880218401,1070.3708794718889,1.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1287.034880218401
STRD-3-0-YOUR-AIRN-DOB-AP-IPH16E,Cases And Sleeves,2.0,2.0,1222.6187200473098,1016.7987633822046,1.0,949.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1222.6187200473098
STRD-3-0-THE-LONE-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-VINY-COLL-AP-IPH16E,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-ANOT-ONE-DOB-AP-IPH13,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-WATC-DOG-AP-IPH16E,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-SURV-AP-IPH14PLS,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-SURV-AP-IPH13PRO,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-OFFL-DOB-AP-IPH14,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-NOST-BRB-DOB-AP-IPH16E,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-BIL-MATC-DOB-AP-IPH15PRO,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-BREE-THRO-SS-GLS26PLS,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-DELH-CITY-TAG-AP-IPH15PROMAX,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-DURB-DOB-AP-IPH16E,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-BANDI-AP-IPH14PROMAX,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-TEL-MATC-DOB-SS-GLS26,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-LONE-AP-IPH14PLS,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-FEST-TIES-SS-GLS26PLS,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-FEST-TIES-AP-IPH14PRO,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-LOUD-ONE-AP-IPH13,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-THE-FALS-ANG-AP-IPH15PLS,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-HOT-PSYC-DOB-SS-GLS26,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-FOR-THE-PLOT-AP-IPH15PROMAX,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
STRD-3-0-K3-FULL-THRO-AP-IPH16E,Cases And Sleeves,2.0,2.0,1158.2025598762186,963.2266472925204,1.0,899.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1158.2025598762186
NDE-WIRLES-AP-WTCH-CRGNG-STND,Accessories,1.0,1.0,1146.4759844723424,1115.8480059190774,0.5,1499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1146.4759844723424
STRD-3-0-KIXE-ARCA-3-0-SS-GLS26,Cases And Sleeves,2.0,2.0,1093.7863997051277,909.6545312028364,1.0,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1093.7863997051277
STRD-3-0-NEON-HEAR-SS-GLS26,Cases And Sleeves,2.0,2.0,1093.7863997051277,909.6545312028364,1.0,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1093.7863997051277
STRD-3-0-GIRL-RUNTHE-WOR-SS-GLS26PLS,Cases And Sleeves,2.0,2.0,1093.7863997051277,909.6545312028364,1.0,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1093.7863997051277
STRD-3-0-FOR-THE-PLOT-SS-GLS26,Cases And Sleeves,2.0,2.0,1093.7863997051277,909.6545312028364,1.0,849.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1093.7863997051277
Frosted Magnetic,Cases And Sleeves,2.0,2.0,1029.3702395340365,856.0824151131523,1.0,799.0,1.0,0.0,1598.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1029.3702395340365
DOB-GIFT-CRD-500,Gifts,2.0,1.0,760.2554983882334,361.72348803326736,1.0,500.0,1.0,1.0,3000.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,760.2554983882334
STRD-2-0-HYPER-SDTH-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-2-0-FRDM-LIF-FRDM-RDE-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-2-0-MIDN-FROL-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-2-0-JHOO-MEL-DOB-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-2-0-GHOD-MEL-DOB-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-2-0-EXTRA-SDTH-AP-IPH17PRO,Cases And Sleeves,1.0,1.0,707.9336002802917,588.7575558256285,0.5,549.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,707.9336002802917
STRD-3-0-GLAM-NO-DAM-DOB-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-MEOW-TOGE-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-NO-INTE-DOB-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-MNKY-SHDR-TWT-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-2-0-THE-SURV-AP-IPH17E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-ALWA-CHIC-DOB-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-2-0-THE-LOUD-ONE-AP-IPH17E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-HUST-WHNTHEY-RES-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-RAVE-RUSH-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
STRD-3-0-RAN-MATC-DOB-AP-IPH16E,Cases And Sleeves,1.0,1.0,643.5174401092005,535.1854397359443,0.5,499.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,643.5174401092005
Sling Bag,Cases And Sleeves,2.0,2.0,642.8732785074895,534.6497185750475,1.0,499.0,1.0,1.0,5288.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,642.8732785074895
STRD-3-0-K3-RACE-PRI-AP-IPH16E,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-I-DONT-CARE-SS-GLS26,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-K3-THE-DRI-SAG-SS-GLS26PLS,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-MAIN-CHAR-ENE-AP-IPH16E,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-LOVE-LIFE-MEOW-AP-IPH16E,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-GEMINI-DOB-SS-GLS26,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-GOAT-SS-GLS26PLS,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-GOAT-AP-IPH115PLS,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-K3-THE-DRI-SAG-AP-IPH115PLS,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-K3-MAYH-AP-IPH14PRO,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-K3-FULL-THRO-SS-GLS26PLS,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-ME-TIME-DOB-SS-GLS26,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-MAIN-CHAR-ENE-SS-GLS26,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-LADA-DISGPOS-SS-GLS26,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-LEO-DOB-AP-IPH16E,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
STRD-3-0-KRISHNA-DOB-AP-IPH13,Cases And Sleeves,1.0,1.0,579.1012799381093,481.6133236462602,0.5,449.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,579.1012799381093
