Parent,Category,child_skus,base_units,base_gross,Oct_units,Oct_gross,Nov_units,Nov_gross,sep_hps_gross,event_dep_skus,avg_ASP,event_led
Loop 10MaH Magsafe,Accessories,3,1475.0,8612025.0,1129,6584514.73169418,1099,6408610.15216755,46208301.0,3,5832.165395654721,YES
Stack Plain,Cases And Sleeves,54,3259.5,5064440.5,4224,6524636.208499218,3519,5426255.887905958,6614914.0,2,1544.6581933000043,
Daily Duffle,Bags and Backpacks,1,2026.0,6075974.0,2039,6113312.6229487015,2223,6666535.522541796,0.0,0,2998.191575747279,
Stride 2.0,Cases And Sleeves,1280,4600.5,3907899.5,6488,5034637.60249054,5684,4187088.9136163704,3178657.0,145,775.9922321964457,
Stride 3.0,Cases And Sleeves,1886,4150.5,3767599.5,6144,4853885.857050458,5538,4036765.555868717,2676201.0,186,790.020484545973,
Stack Signature,Cases And Sleeves,54,2121.0,3521329.0,2763,4536609.857582164,2300,3772900.9195594257,7198090.0,5,1641.914534050729,
Node Charger,Accessories,9,360.5,5500700.0,280,4205682.192588871,273,4093327.8600593987,2696303.0,0,15020.293544960256,
Leatherite,Cases And Sleeves,42,1750.0,2923250.0,2279,3766090.8044028436,1898,3132093.767183382,4449760.0,9,1652.5190014931302,
Pedal Daypack,Bags and Backpacks,9,2468.5,3529531.5,2488,3551221.4950302728,2714,3872588.5138218543,5346946.0,0,1427.3398291922317,
Loop 20MaH,Accessories,3,526.0,3694724.0,404,2824883.184563915,393,2749416.7441289476,6127434.0,0,6992.28511030672,
Stria Laptop Sleeve,Cases And Sleeves,14,1300.0,1968600.0,1681,2536193.0582562005,1400,2109241.354683043,4699666.0,2,1508.740665232719,
Y-Fold,Cases And Sleeves,54,799.0,1697676.0,1056,2187155.3826923463,883,1818961.9150934115,2145307.0,13,2071.1698699738126,
Loop 5MaH,Accessories,3,724.0,2833776.0,556,2166626.295014402,540,2108745.1142523102,7317387.0,0,3896.809883119428,
Vault Tech kit,Home Office,8,1294.0,2398956.0,1136,2100622.8620103216,1224,2261975.4193161298,7829297.0,3,1849.139843318945,YES
Commute Messenger,Bags and Backpacks,16,534.5,1804340.5,546,1815428.6958350337,595,1979715.5218259366,2119477.0,2,3324.9609813828456,
Beam 2.0,Cases And Sleeves,41,1526.5,1359623.5,1987,1751634.5029675907,1653,1456758.1596052528,1571481.0,3,881.5473089922449,
Enamel,Cases And Sleeves,77,1167.5,1265707.5,1547,1630640.3409950268,1292,1356132.5825116772,2735469.0,30,1054.0661544893514,
Stack Wallet,Accessories,4,686.5,2043713.5,527,1562566.486756863,513,1520822.696662153,5544522.0,1,2965.0217965025863,
Park Tech Kit,Home Office,4,587.5,1761912.5,516,1542801.8181082772,557,1661307.1544396107,2120815.0,0,2989.9260040858085,
Idyll Tote,Bags and Backpacks,7,472.5,1435127.5,479,1443946.7748365633,523,1574616.4249759135,4001460.0,1,3014.502661454203,
FREE-MYSTRY-GIFT,Accessories,1,615.0,1844385.0,471,1410165.460900981,458,1372493.047280465,0.0,0,2993.9818702780913,
March Crossbody,Bags and Backpacks,19,812.5,1388762.5,829,1397296.8484604768,901,1523744.9236326474,3081959.0,4,1685.520926972831,
Field Backpack,Bags and Backpacks,8,392.0,1342108.0,399,1350355.6430229023,434,1472555.7839924141,2592463.0,3,3384.3499825135395,
Watchband - Track Nylon,Accessories,13,674.5,1674375.5,523,1280180.9268015139,510,1245981.0355683614,3090439.0,2,2447.764678396776,
Loop 10MaH Universal,Accessories,3,539.0,1616461.0,414,1235901.111261185,402,1202884.1503807653,3616056.0,0,2985.2683846888526,
SnapOn Envelope,Cases And Sleeves,35,658.0,924817.0,864,1191463.2000189598,725,990888.0737142679,1751567.0,5,1379.0083333552775,
Stack Clear,Cases And Sleeves,8,521.5,921378.5,676,1187033.300683994,562,987203.9192907803,1101377.0,0,1755.9664211301688,
LOFT Charging Station,Accessories,4,306.5,1532193.5,236,1171472.525051433,229,1140176.7666936792,1362198.0,0,4963.866631573868,
Marshal Kit,Home Office,16,851.5,1302898.5,754,1140870.6020364503,812,1228502.890784098,3803633.0,9,1513.0909841332232,
Arete,Home Office,5,471.0,1264929.0,414,1107622.9727514193,447,1192701.4522901347,1064639.0,0,2675.4178085783074,
Stack Stand,Home Office,5,1274.0,1243026.0,1118,1088443.8204257358,1204,1172049.1153530334,2099751.0,0,973.563345640193,
Pivot Taiga,Bags and Backpacks,5,251.0,1066974.0,256,1073530.8647729678,277,1170679.8074890561,1654528.0,0,4193.479940519405,
Kevlar Core,Accessories,4,1246.0,1284604.0,954,982172.481198472,929,955933.8524812742,3829104.0,3,1029.5309027237652,
Leatherite Airpods,Cases And Sleeves,18,514.5,737635.5,673,950312.930317658,562,790333.8927574438,961501.0,2,1412.0548741718544,
Clear Case,Cases And Sleeves,12,796.5,712488.5,1033,917915.4667212093,861,763390.3326912981,187667.0,0,888.591932934375,
Pivot Laptop Sleeve,Cases And Sleeves,12,319.0,688656.0,416,887211.5039756589,347,737855.1835571502,1286397.0,0,2132.7199614799492,
Screen Protector,Accessories,67,1682.0,1124388.0,1317,859675.7847475078,1284,836709.6416667819,1802014.0,6,652.7530635896035,
Watchband - Ellipse Leather,Accessories,14,365.5,1089334.5,287,832874.8538227321,278,810624.6946341149,1444279.0,1,2902.0029749920977,
Foldaway 3-in-1,Accessories,2,151.5,1086448.5,117,830668.2985101697,114,808477.0872015823,1027363.0,0,7099.729047095468,
Wing Tote,Bags and Backpacks,2,369.0,780781.0,372,785579.125759674,406,856669.9383219392,2797246.0,2,2111.771843439984,YES
Nimbus MagSafe,Cases And Sleeves,15,657.0,607463.0,853,782608.6781202308,711,650861.5671237557,292339.0,2,917.4779344903058,
Nimbus Coloured,Cases And Sleeves,23,715.5,579059.5,934,746015.790011839,779,620428.8551366888,633391.0,5,798.7321092203844,
9 to 9 Backpack,Bags and Backpacks,8,240.0,705410.0,246,709744.9490985716,266,773973.164295339,986072.0,0,2885.1420695063885,
Leather Desk Mat,Home Office,2,826.5,787973.5,725,689981.4539150739,780,742980.1497286729,3155735.0,2,951.6985571242399,YES
Skipper Sleeve,Cases And Sleeves,27,369.0,491081.0,489,632671.0470595921,409,526164.9668287634,908406.0,6,1293.8058222077548,
Pivot Meridian,Bags and Backpacks,5,91.5,614908.5,96,618687.2911254149,103,674675.2633179292,694374.0,1,6444.659282556405,
Pivot Ambit,Bags and Backpacks,5,118.0,605957.0,122,609680.7815609688,132,664853.7116243189,446401.0,0,4997.383455417777,
Folio,Home Office,2,354.5,688395.5,311,602786.9312338476,335,649088.06154337,1375143.0,0,1938.2216438387384,
Reflex MagSafe,Cases And Sleeves,11,420.0,467530.0,549,602329.7472958048,456,500931.42870820034,1214923.0,3,1097.139794710027,
Buoy Tote,Bags and Backpacks,7,247.0,570828.0,253,574335.9036645914,274,626310.3066704182,798357.0,2,2270.102386026053,
Field Tote,Bags and Backpacks,7,294.5,559905.5,300,563346.2817333327,327,614326.1812865766,1688545.0,4,1877.8209391111088,YES
Pivot Orbit Fanny,Bags and Backpacks,5,278.0,508397.0,282,511521.2470575501,308,557811.2513407202,1471269.0,3,1813.9051314097521,
Taxi Organiser,Home Office,17,548.5,581376.5,489,509076.7681172742,526,548179.855056968,2041961.0,13,1041.0567855158981,YES
Watchband - Steel,Accessories,4,82.5,658817.5,64,503713.5324442197,63,490256.8813868567,1769646.0,1,7870.523944440933,
Pivot Lunar Daypack,Bags and Backpacks,5,126.0,484899.0,130,487878.8450304762,141,532029.3352711835,657201.0,0,3752.914192542125,
Money Clip,Accessories,1,214.5,632185.5,165,483351.4461364721,160,470438.7659526208,1094426.0,0,2929.402703857407,
Stack Grip,Accessories,4,426.0,625374.0,328,478143.5627298476,318,465370.01057261555,695721.0,0,1457.754764420267,
Morph,Home Office,1,260.5,521439.5,229,456593.50769886194,246,491665.26258109487,1161718.0,0,1993.8581122221046,
Frosted Clear,Cases And Sleeves,13,446.5,334468.5,582,430903.5293636919,486,358363.7062068503,36963.0,0,740.3840710716356,
Desk Trio Bundle,Home Office,2,248.5,482951.5,218,422891.85885117436,235,455374.9304788641,2834132.0,2,1939.8709121613504,YES
Fleet,Bags and Backpacks,7,136.5,412763.5,142,415300.051455534,154,452882.5395169038,432927.0,0,2924.6482496868593,
POP Adapter,Accessories,7,217.5,508282.5,171,388618.659271466,166,378236.7549640303,3845939.0,5,2272.623738429626,YES
Field Duffle,Bags and Backpacks,8,122.5,375277.5,128,377583.68911036017,139,411753.0431434826,703131.0,3,2949.872571174689,
Organiser with Planner,Home Office,5,208.0,409742.0,185,358786.6608332262,199,386345.6988212496,295075.0,0,1939.3873558552768,
System Tote,Bags and Backpacks,5,93.0,356007.0,97,358194.76629723865,105,390609.52396661625,116961.0,0,3692.7295494560685,
Pivot Travel Sling,Accessories,6,260.0,467065.0,202,357104.90542685863,197,347564.8875522467,1497656.0,4,1767.8460664695972,YES
Mesa,Home Office,5,82.5,405817.5,75,355350.20996795007,81,382645.28808711935,476881.0,0,4738.002799572668,
Cleaning Kit,Accessories,1,587.0,461463.0,449,352821.7720723977,437,343396.1776294999,1401694.0,1,785.794592588859,YES
Phone Lanyard,Accessories,39,504.5,457845.5,405,350055.93220989115,392,340704.22687163914,844494.0,3,864.335635086151,
Halo 2.0,Cases And Sleeves,14,288.5,269986.5,378,347829.872560646,316,289274.96241295,166438.0,1,920.1848480440369,
Dome Airpods,Cases And Sleeves,11,192.5,269732.5,253,347502.6384669769,212,289002.81606321444,188512.0,1,1373.5282152844936,
Surge 3-in-1,Accessories,1,72.5,448927.5,56,343237.4775053067,54,334067.92642696673,0.0,0,6129.24066973762,
Dart Desk Mat,Home Office,8,218.0,387082.0,196,338944.64870246855,209,364979.5866450765,708243.0,0,1729.3094321554518,
PUFT Laptop Bag,Cases And Sleeves,6,105.0,262295.0,138,337920.734641527,115,281033.9637948739,858542.0,3,2448.700975663239,YES
Bar Desk Organiser,Home Office,8,87.0,347913.0,81,304646.68872234295,86,328047.1396976571,286918.0,0,3761.0702311400364,
Sunday Crossbody,Bags and Backpacks,9,211.5,302288.5,219,304146.1505303065,237,331669.79044114996,972027.0,7,1388.7952079009428,YES
Cirque,Home Office,5,113.5,333361.5,102,291904.8070135733,110,314326.53151885816,330157.0,0,2861.811833466405,
Field Daypack,Bags and Backpacks,8,115.0,289810.0,121,291590.96652763215,130,317978.4277858723,1262859.0,6,2409.8426985754722,YES
Vegan Leather Zippered,Cases And Sleeves,10,186.5,219588.5,246,282900.9597545929,206,235276.41227919204,245709.0,2,1150.0039014414347,
Conoid,Accessories,1,84.5,364165.5,65,278430.81035235926,63,270992.5621870782,464384.0,0,4283.550928497834,
PUFT Oversized Tote,Bags and Backpacks,5,68.0,269832.0,71,271490.19592175575,76,296058.64230467373,1164525.0,4,3823.805576362757,YES
Pivot Duffle,Bags and Backpacks,5,43.5,258856.5,48,260447.24829012115,50,284016.36552276893,341321.0,0,5425.984339377524,
All Time Tote,Bags and Backpacks,6,123.5,253101.5,128,254656.88214552117,138,277702.0014500741,585734.0,1,1989.5068917618842,
Pivot Key Tote,Bags and Backpacks,3,64.0,251686.0,66,253232.6834873663,72,276148.9202433148,2999.0,0,3836.8588407176712,
Clear Magnetic,Cases And Sleeves,15,304.5,192608.5,399,248141.99972627216,334,206368.89843719846,232583.0,1,621.9097737500556,
Stack Lanyard,Accessories,5,129.5,313120.5,101,239403.2234051164,99,233007.59288921935,731015.0,1,2370.328944605113,
Pivot Crossbody,Accessories,5,145.5,298654.5,113,228342.92224381136,111,222242.76644465426,1173666.0,5,2020.7338251664723,YES
Keychain,Travel,11,672.0,314893.0,473,218931.6036560702,523,242683.5916164692,538124.0,3,462.85751301494753,
Retreat Crossbody,Bags and Backpacks,4,184.5,217215.5,187,218550.35226452805,204,238328.01898044287,546453.0,1,1168.7184613076365,
Pivot Briefpack,Bags and Backpacks,5,41.0,215559.0,45,216883.67259145598,47,236510.5134919252,249438.0,0,4819.6371686990215,
Pivot Classic Tote,Bags and Backpacks,5,56.0,215544.0,59,216868.5804121043,64,236494.0555490772,553899.0,1,3675.7386510526153,
Stack Plate,Accessories,10,335.5,268064.5,262,204954.65924613952,254,199479.31829456118,562275.0,0,782.2696917791585,
POP Cable,Accessories,5,278.5,261246.5,215,199741.80612034263,209,194405.72596087912,1760589.0,2,929.0316563736867,YES
Frosted Hardshell,Cases And Sleeves,3,108.5,154854.0,141,199502.00134268295,118,165917.1292990389,73936.0,0,1414.9078109410138,
DAILY-RUNDWN-PACK,Bags and Backpacks,1,89.0,195711.0,90,196913.7008732943,98,214733.3635154096,428648.0,0,2187.93000970327,
Desk & Mouse Pad,Home Office,2,151.5,222898.5,134,195178.93825806212,144,210170.9777096522,443587.0,0,1456.5592407318068,
MagSafe Card Wallet,Accessories,6,202.0,252198.0,157,192823.57474621927,154,187672.31436930943,519357.0,2,1228.1756353262374,
Mount Adjustable,Home Office,5,124.0,220176.0,110,192795.00718895407,118,207603.932678777,363688.0,0,1752.681883535946,
PUFT Charms,Bags and Backpacks,43,298.0,188727.0,328,189886.7821671455,350,207070.545325366,911761.0,38,578.9231163632485,YES
COMM-EVRYDAY-PACK,Bags and Backpacks,1,50.0,184950.0,51,186086.5714063889,55,202926.43531623163,70180.0,0,3648.7563020860566,
Sol Box,Bags and Backpacks,6,95.0,177280.0,100,178369.43703122262,108,194510.94053993805,640407.0,5,1783.6943703122263,YES
Wing Crossbody,Bags and Backpacks,2,95.5,172684.5,97,173745.6963505086,105,189468.77544939605,713406.0,2,1791.192745881532,YES
Check-in Passport Wallet,Travel,5,255.5,249044.5,180,173149.9644854734,200,191935.08186059317,696928.0,2,961.9442471415189,
AM-PM-PACK,Bags and Backpacks,1,47.5,170952.5,48,172003.05270803298,53,187568.4316485433,40488.0,0,3583.3969314173537,
Osgo,Home Office,2,135.0,193265.0,120,169230.64759271313,128,182229.55294475256,838052.0,2,1410.2553966059427,YES
Siesta Sleeve,Cases And Sleeves,6,111.0,123014.0,146,158481.79054573213,121,131802.40577312803,113185.0,0,1085.4917160666585,
Pivot Top Handle Tote,Bags and Backpacks,5,52.0,153848.0,55,154793.44059329614,59,168801.43941893268,103749.0,2,2814.426192605384,
Onboarding Kits,Gifts,7,28.5,101571.5,46,154440.5827090809,24,73481.59452954204,8298.0,0,3357.403971936541,
Pivot Pouch,Wallet and Pouches,15,243.0,295057.0,131,149545.80439195796,125,143555.43982844643,1351249.0,12,1141.5710258928088,YES
Beam,Cases And Sleeves,9,137.5,112477.5,180,144907.37311287806,151,120513.15374954892,214794.0,3,805.0409617382114,
Puft Baguette Bag,Bags and Backpacks,5,41.0,143309.0,45,144189.67538079582,48,157238.0887739056,1223320.0,5,3204.2150084621294,YES
Track Nylon Watchband,Accessories,2,73.5,182076.5,57,139210.6266000523,56,135491.6301765421,0.0,0,2442.2916947377594,
Leather Tray,Home Office,2,239.5,158835.5,210,139082.78542784462,227,149765.9801658668,582444.0,2,662.2989782278315,YES
Pilot Backpack,Bags and Backpacks,7,56.0,135694.0,61,136527.87899658576,65,148882.9397880548,313416.0,2,2238.161950763701,
Pivot Messenger,Bags and Backpacks,5,33.0,129967.0,36,130765.68492010892,39,142599.29720867626,98970.0,1,3632.380136669692,
Hybrid Clear,Cases And Sleeves,7,127.0,98673.0,167,127122.71545124153,140,105722.42821834802,8091.0,0,761.2138649774942,
BRTHDY-MYSTRY-GIFT,Accessories,1,127.5,165622.5,98,126630.35594416173,95,123247.44005357278,0.0,0,1292.1464892261401,
Scout Crossbody Bag,Accessories,7,121.0,164229.0,97,125564.92461080913,92,122210.47159992275,209967.0,0,1294.483758874321,
Square Pouch,Wallet and Pouches,4,417.5,247732.5,214,125559.99683630867,205,120530.4330936077,587623.0,1,586.7289571790125,
Oblong,Home Office,2,364.5,142885.5,320,125116.3205785249,344,134726.72644962845,280862.0,0,390.9885018078903,
SURP-GIFT-BDAY,Accessories,1,323.5,161426.5,248,123422.21107530814,241,120125.00041847012,0.0,0,497.67020594882314,
Flash Pouch,Home Office,2,140.5,140359.5,124,122904.45285379878,134,132344.96125293765,12783.0,0,991.164942369345,
AirTag,Cases And Sleeves,11,199.0,92651.0,260,119364.4331202353,219,99270.20255650647,220362.0,2,459.0939735393666,
UrbanGentleman,Wallet and Pouches,4,170.5,215179.5,89,109060.93201028722,85,104692.2722205038,249788.0,1,1225.4037304526653,
Blaze Daypack,Bags and Backpacks,2,49.0,107101.0,50,107759.16671638636,55,117510.80913113663,0.0,0,2155.183334327727,
Mouse Pad,Home Office,7,246.5,122148.5,220,106958.16499355042,235,115173.81081867957,266612.0,1,486.173477243411,
Stride Clear,Cases And Sleeves,6,106.5,82943.5,140,106858.03562301796,117,88869.1762176943,95422.0,0,763.2716830215569,
Armour,Cases And Sleeves,9,71.0,78979.0,98,101750.47828305214,80,84621.44313294324,178642.0,1,1038.2701865617566,
Cable Wrap,Home Office,5,303.5,112721.5,268,98703.50266536628,289,106285.09327742699,396632.0,2,368.29665173644133,YES
Pivot Workpack,Bags and Backpacks,5,21.5,91778.5,26,92342.50550863078,26,100699.02051187221,23494.0,0,3551.6348272550304,
Felt Desk Mat,Home Office,2,152.0,105173.0,134,92093.73088385595,144,99167.61323498026,225624.0,0,687.2666483869847,
Zip Wallet,Wallet and Pouches,4,191.0,178659.0,98,90550.99139102892,94,86923.7853171096,112140.0,0,923.9897080717236,
Eyewear Cover,Travel,6,132.0,127868.0,95,88901.13878776088,105,98546.0632431165,294480.0,3,935.8014609237987,
Pivot Weekender,Bags and Backpacks,5,17.5,86482.5,21,87013.96005219263,22,94888.26949032712,51987.0,0,4143.521907247268,
Keychain,Home Office,12,196.0,98954.0,177,86648.1230532654,190,93303.71863552657,438735.0,11,489.5374183800305,YES
Log Bi-Fold,Wallet and Pouches,6,222.5,170427.5,116,86378.96263437375,112,82918.87574727106,199293.0,0,744.6462296066702,
Coaster Set,Home Office,2,143.5,96056.5,127,84110.9549090081,136,90571.66611873658,194810.0,0,662.2909835354968,
Car Charger,Accessories,1,95.0,109705.0,73,83877.39104804155,71,81636.61586485653,0.0,0,1149.005356822487,
Miles Roll Top,Bags and Backpacks,7,28.0,81447.0,33,81947.51544382892,34,89363.33807624286,219731.0,3,2483.2580437523916,
Convoy Adapter,Home Office,10,93.0,91407.0,87,80039.6647323992,94,86187.65294295913,207584.0,4,919.996146349416,
Watchband - Velour,Accessories,10,81.0,102419.0,67,78306.71814182916,65,76214.76286643946,928276.0,6,1168.75698719148,YES
Watchband - Rim Snap On,Accessories,5,73.5,101526.5,59,77624.33747084445,57,75550.61191926857,369612.0,3,1315.6667367939738,YES
Caddy Crossbody,Bags and Backpacks,7,64.0,76786.0,69,77257.87224661247,73,84249.30663526445,245293.0,3,1119.6793079219199,YES
PUFT Bucket Sling,Accessories,4,40.0,99160.0,33,75814.97740598698,31,73789.58870752632,488510.0,4,2297.4235577571812,YES
City Tote,Bags and Backpacks,11,77.5,71897.5,85,72339.33099589536,89,78885.6630610909,92069.0,1,851.0509528928866,
Air Skin Slim,Cases And Sleeves,10,78.0,55522.0,104,71530.28090038645,88,59488.62059062883,21768.0,0,687.7911625037159,
PUFT Crossbody,Bags and Backpacks,6,32.0,70868.0,37,71303.50441972408,38,77756.09958362099,475846.0,6,1927.1217410736238,YES
Cobble Phone Sling,Accessories,6,68.0,93232.0,56,71282.59352072385,54,69378.28695421635,391529.0,6,1272.9034557272116,YES
Ripstop Passport Wallet,Travel,1,68.5,99831.5,48,69408.56224301897,53,76938.72831869728,11988.0,0,1446.0117133962285,
Klamp,Home Office,1,101.5,78923.5,89,69108.60743167928,96,74416.96179771391,81396.0,0,776.50120709752,
BAR-DESK-COMBO-1,Home Office,1,19.5,77980.5,18,68282.87850673204,19,73527.80717361279,0.0,0,3793.4932503740024,
Analog RFID,Accessories,1,49.5,89200.5,38,68200.22077554195,37,66378.2594544746,620586.0,1,1794.7426519879461,YES
Tray,Home Office,1,49.0,77451.0,43,67819.22689935181,47,73028.54166623046,117502.0,0,1577.1913232407396,
Cable Protector,Home Office,1,252.5,75497.5,222,66108.66332047117,239,71186.58667346108,272226.0,1,297.78677171383407,YES
SMOTH-OPRTOR-GFT-BUNDLE,Gifts,1,10.0,42990.0,16,65366.7677514203,8,31100.985501100327,0.0,0,4085.422984463769,
FELT-DESK-TRIO-BUNDLE,Home Office,1,52.5,72997.5,46,63919.562246910085,50,68829.33687467764,93733.0,0,1389.5557010197845,
BAR-DESK-COMBO-6,Home Office,1,18.0,71982.0,16,63030.34939082958,17,67871.8220064118,0.0,0,3939.3968369268487,
BAR-DESK-COMBO-9,Home Office,1,18.0,71982.0,16,63030.34939082958,17,67871.8220064118,0.0,0,3939.3968369268487,
Fliptop,Wallet and Pouches,7,165.5,117684.5,88,59646.85880004669,84,57257.581275790115,47629.0,0,677.8052136368942,
Pivot Carrypack,Bags and Backpacks,5,12.0,58988.0,15,59350.49837318231,15,64721.40884797984,45487.0,1,3956.6998915454874,
Fanny Pack,Bags and Backpacks,2,39.0,58461.0,40,58820.25980529279,43,64143.186455918985,2798.0,0,1470.5064951323197,
Pivot Daypack,Bags and Backpacks,5,19.5,58130.5,23,58487.72878691046,23,63780.56311516736,62374.0,0,2542.9447298656723,
Wing Backpack,Bags and Backpacks,1,17.0,57833.0,18,58188.40056310186,19,63454.14724868139,97964.0,0,3232.6889201723257,
Watch Screen Protector,Accessories,6,193.5,74951.5,151,57305.831777378306,147,55774.91284804516,268004.0,4,379.50881971773714,YES
Notebook 1.0,Home Office,4,65.5,65434.5,59,57297.0936791731,64,61698.184783397985,132379.0,1,971.1371810029339,
Black Hybrid Clear,Cases And Sleeves,24,69.0,42456.0,99,54697.049924476916,89,45489.15521407258,22543.0,1,552.4954537825951,
Kiyo,Home Office,1,69.5,62380.5,61,54622.88780771088,66,58818.56842920413,205506.0,1,895.4571771755882,YES
DOB-GIFT-CRD-3000,Gifts,1,11.5,34500.0,18,52457.6293887881,9,24958.92067429545,3000.0,0,2914.312743821561,
Utility Phone Sling,Accessories,4,47.5,67902.5,39,51916.362477914794,38,50529.42262215415,245010.0,3,1331.1887814849947,YES
Pulse Card Wallet,Wallet and Pouches,2,125.0,99875.0,65,50620.3452676832,62,48592.64329558725,10485.0,0,778.7745425797416,
Leather AirPods Cover,Cases And Sleeves,14,60.5,36489.5,85,47010.2695312606,72,39096.39460109057,147976.0,7,553.0619944854188,YES
PUFT Pouch,Wallet and Pouches,4,51.5,91198.5,28,46222.774046506194,27,44371.225828211405,311688.0,2,1650.8133588037927,YES
Notebook 2.0,Home Office,4,52.0,51948.0,48,45487.769027740476,52,48981.76501888083,54613.0,0,947.6618547445933,
Buoy Tote Bag,Bags and Backpacks,1,19.5,44380.5,20,44653.23104785749,22,48694.11550447157,190694.0,1,2232.6615523928745,YES
Wrap Card Wallet,Wallet and Pouches,3,50.0,87400.0,27,44297.553706087725,26,42523.12414552516,128294.0,0,1640.6501372625082,
Watchband - Nylon,Accessories,1,37.5,56212.5,29,42978.5136893308,28,41830.34747097441,31161.0,0,1482.0177134252,
